				R199.84	X199.49	X198.69	X195.47	X193.47	X190.33	X189.57	X186.31	X185.24	X184.02	X179.86	X176.39	X173.97	X172.04	X171.65	X171.4	X171.12	X170.62	X169.67	X166.05	X164.81	X160.41	X156.46	X156.01	X155.84	X155.56	X155.36	X153.63	X153.33	X151.58	X149.82	X146.68	X139.77	X139.49	X138.82	X134.61	X132.12	X131.56	X127.92	X124.78	X123.96	X121.93	X121.76	X118.72	X118.53	X116.48	X112.74	X111.86	X109.64	X105.2	X102.7	Y199.52	X197.52	X194.5	X186.73	X183.93	X182.92	X178.64	X177.35	X172.02	X171.84	X169.83	X168.04	X161.42	X160.27	X159.26	X157.91	X154	X153.84	X150.7	X150.1	X149.13	X148.08	X146.06	X139.77.1	X139.5	X136.55	X136.37	X136.08	X135.78	X135.42	X133.82	X132.25	X130.99	X130.83	X130.07	X124	X117.62	X116.87	X116.62	X116.37	X115.57	X112.6	X107.94	X107.35	X105.37	X104.62	X103.03	X100.17	X100	G197.4	X196.57	X191.52	X189.25	X184.5	X182.6	X177.59	X176.68	X171.38	X167.93	X167.43	X164.26	X160.67	X160.39	X157.75	X155.55	X153.43	X153.29	X152.22	X151.06	X150.65	X150.04	X149.75	X146.74	X145.85	X138.06	X136.75	X134.88	X132.62	X132.08	X130.73	X130.57	X130.25	X129.72	X129.02	X127.5	X123.71	X119.91	X116.85	X116.21	X105.66	X104.51	X103.08	B195.81	X189.61	X182.68	X175.01	X172.23	X168.57	X165.25	X164.56	X163.19	X162.38	X161.14	X160.22	X158.92	X156.34	X148.33	X145.7	X143.62	X141.86	X141.66	X140.15	X139.48	X138.35	X136.87	X135.54	X133.76	X129.69	X126.86	X125	X116.35	X115.02	X113.5	X112.43	X108.74	X108.34	X107.82	X106.95	X105.97	X104.06	X102.35
BV10-194	3	NC	m	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-9	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	-9	1	0	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0
BV10-195	3	NC	m	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	-9	0	0	0	-9	0	0	1	0	1	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-9	0	-9	0	0	0	1	0	1	0	0	1	-9	0	0	1	0	0	0
BV10-195	3	NC	m	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	-9	0	0	0	-9	0	0	1	0	1	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-9	0	-9	0	0	0	1	0	1	0	0	1	-9	0	0	1	0	0	0
BV10-196	3	NC	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	-9	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	-9	1	0	0	1	0	0	0	1	0	0	0
BV10-196	3	NC	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	-9	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	-9	1	0	0	1	0	0	0	1	0	0	0
BV10-171	3	NC	f	0	0	0	-9	0	-9	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	1	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	-9	0	-9	0	0	0	1	0	0	-9	0	0	0	-9	0	0	1	0	1	-9	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	1	0	0	-9	0	0	0	-9	0	0	0
BV10-171	3	NC	f	0	0	0	-9	0	-9	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	1	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	-9	0	-9	0	0	0	1	0	0	-9	0	0	0	-9	0	0	1	0	1	-9	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	1	0	0	-9	0	0	0	-9	0	0	0
BV10-172	3	NC	f	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	-9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	-9	0	-9	0	-9	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	1	0	0	-9	0	0	0	-9	0	0	-9	0	-9	-9	0	0	0	0	0	0	-9	0	0	0	0	0	-9	0	0	0	1	0	0	0	0	0	0	0	1	0	-9	0	0	0	1	-9	1	0	0	1	0	0	0	1	0	-9	0
BV10-172	3	NC	f	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	-9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	-9	0	-9	0	-9	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	1	0	0	-9	0	0	0	-9	0	0	-9	0	-9	-9	0	0	0	0	0	0	-9	0	0	0	0	0	-9	0	0	0	1	0	0	0	0	0	0	0	1	0	-9	0	0	0	1	-9	1	0	0	1	0	0	0	1	0	-9	0
BV10-173	3	NC	f	0	0	0	0	0	-9	0	-9	0	0	-9	0	0	1	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	-9	0	0	0	-9	0	1	-9	0	-9	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	-9	0	0	0	1	-9	1	0	0	1	0	0	0	1	0	0	0
BV10-173	3	NC	f	0	0	0	0	0	-9	0	-9	0	0	-9	0	0	1	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	-9	0	0	0	-9	0	1	-9	0	-9	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	-9	0	0	0	1	-9	1	0	0	1	0	0	0	1	0	0	0
BV10-174	3	NC	f	0	0	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	-9	0	0	0	0	0	0	-9	1	0	0	0	0	0	0	0	0	0	0	1	0	-9	1	1	0	0	0	0	0	0	0	0	1	0	-9	-9	0	0	0	0	0	-9	-9	0	0	0	0	0	0	-9	0	0	1	0	0	0	0	0	0	0	-9	0	-9	-9	0	0	1	-9	1	0	-9	-9	0	0	0	1	0	-9	0
BV10-174	3	NC	f	0	0	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	-9	0	0	0	0	0	0	-9	1	0	0	0	0	0	0	0	0	0	0	1	0	-9	1	1	0	0	0	0	0	0	0	0	1	0	-9	-9	0	0	0	0	0	-9	-9	0	0	0	0	0	0	-9	0	0	1	0	0	0	0	0	0	0	-9	0	-9	-9	0	0	1	-9	1	0	-9	-9	0	0	0	1	0	-9	0
BV10-188	3	NC	f	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	-9	-9	0	0
BV10-188	3	NC	f	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	-9	-9	0	0
BV10-189	3	NC	f	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	-9	0	1	-9	0	-9	0	0	0	-9	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-9	-9	0	0	0	1	0	1	0	0	1	0	0	0	-9	-9	0	0
BV10-189	3	NC	f	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	-9	0	1	-9	0	-9	0	0	0	-9	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-9	-9	0	0	0	1	0	1	0	0	1	0	0	0	-9	-9	0	0
BV10-190	3	NC	f	0	0	0	0	-9	0	0	0	-9	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	-9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-9	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	-9	0	-9	0	1	0	0	0
BV10-190	3	NC	f	0	0	0	0	-9	0	0	0	-9	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	-9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-9	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	-9	0	-9	0	1	0	0	0
BV10-191	3	NC	f	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9	0	0	0	0	0	0	0	0	1	0	1	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-9	0	1	-9	1	0	0	1	-9	0	0	1	0	-9	0
BV10-191	3	NC	f	0	0	0	0	0	-9	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9	0	0	0	0	0	0	0	0	1	0	1	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-9	0	1	-9	1	0	0	1	-9	0	0	1	0	-9	0
CC10-147	4	NC	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9	0	0	0	0	0	0	0	0	1	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	1	0	0	0	0	0	0	0	0	-9	0	0	-9	0	1	0	1	0	0	1	0	0	0	1	0	0	0
CC10-147	4	NC	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9	0	0	0	0	0	0	0	0	1	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	1	0	0	0	0	0	0	0	0	-9	0	0	-9	0	1	0	1	0	0	1	0	0	0	1	0	0	0
CC10-139	4	RM	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	1	0	0	1	0	0	0	1	0	0	0
CC10-139	4	RM	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	1	0	0	1	0	0	0	1	0	0	0
CC10-140	4	RM	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	-9	0	0	-9	0	-9	0	0	-9	0	0	0	0	0	-9	-9	0	0	0	0	0	0	0	-9	0	0	-9	0	0	0	0	0	-9	0	0	0	0	0	-9	0	1	-9	0	0	0	0	0	0	0	0	0	-9	0	0	0	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	-9	0	0	-9	0	0	-9	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	-9	0	0	0	-9	0	0	-9	0	-9	0	0	0	-9	0	0	0	-9	0	-9	0	0	0	0	0	-9	0	1	0	0	0	0	0	-9	0	0	1	0	0	0	-9	1	0	1	0	0	1	-9	0	0	1	-9	0	0
CC10-140	4	RM	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	-9	0	0	-9	0	-9	0	0	-9	0	0	0	0	0	-9	-9	0	0	0	0	0	0	0	-9	0	0	-9	0	0	0	0	0	-9	0	0	0	0	0	-9	0	1	-9	0	0	0	0	0	0	0	0	0	-9	0	0	0	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	-9	0	0	-9	0	0	-9	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	-9	0	0	0	-9	0	0	-9	0	-9	0	0	0	-9	0	0	0	-9	0	-9	0	0	0	0	0	-9	0	1	0	0	0	0	0	-9	0	0	1	0	0	0	-9	1	0	1	0	0	1	-9	0	0	1	-9	0	0
CC10-141	4	RM	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	-9	0	-9	0	0	0	0	0	0	0	-9	0	-9	0	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	-9	-9	0	0	0	0	-9	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-9	0	-9	-9	0	0	0	0	1	0	1	0	0	1	0	-9	0	1	0	0	0
CC10-141	4	RM	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	-9	0	-9	0	0	0	0	0	0	0	-9	0	-9	0	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	-9	-9	0	0	0	0	-9	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-9	0	-9	-9	0	0	0	0	1	0	1	0	0	1	0	-9	0	1	0	0	0
CC10-142	4	RM	m	0	0	0	0	0	-9	0	0	0	0	0	-9	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	0	0	0	0	-9	0	0	0	1	0	0	0	0	-9	-9	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	0	-9	0	0	0	0	0	0	0	0	-9	-9	0	0	0	0	0	0	0	0	0	-9	0	-9	-9	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	-9	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0
CC10-142	4	RM	m	0	0	0	0	0	-9	0	0	0	0	0	-9	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	0	0	0	0	-9	0	0	0	1	0	0	0	0	-9	-9	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	0	0	0	-9	0	0	0	0	0	0	0	0	-9	-9	0	0	0	0	0	0	0	0	0	-9	0	-9	-9	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	-9	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0
CC10-143	4	RM	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	-9	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	-9	-9	0	0	0	-9	-9	0	0
CC10-143	4	RM	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	-9	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	-9	-9	0	0	0	-9	-9	0	0
